BrandTitle,BrandPictureLink,BrandDescription,CategoryTitle,CategoryPictureLink,CategoryDescription,ProductTitle,ProductPictureLink,ProductThcContent,ProductCbdContent,ProductDescription,ProductURL
23 Oils,https://images.weedmaps.com/brands/000/002/360/avatar/large/1503573156-23O_Adhes8x8verd_taronja.jpg,"<p>BARCELONA FINEST EXTRACTS & CONCENTRATES.</p> <p>QUALITY IS OUR GOLD.</p> <p>ONLY NUG RUN PRODUCTS.</p> <p>WE MAKE SOLVENT AND SOLVENTLESS.</p> <p>OUR SPECIALITY IS BHO.</p> <p>WE ARE ALSO GOOD AT ROSIN, ICEOLATOR AND DRYSIFT. </p> <p>EQUIPMENT USED:</p> <p>SOLVENT:</p> <p>BHOGART, ACROSS INTL & EDWARDS.</p> <p>SOLVENTLESS:</p> <p>SASQUASH.</p> <p>PURE EXTRACT BAGS, HARVEST RIGHT.</p> <p> </p>",Shatter,,,Amnesia Haze Farmer Tom's Choice,https://images.weedmaps.com/products/000/048/625/avatar/large/1503676826-23_OILS_-_BHO_SHATTER_-_AMNESIA_HAZE_FARMER_TOM_-_1.jpg,,,<p>ESPECTACULAR SHATTER DE LA VARIEDAD AMNESIA HAZE FARMER TOM'S CHOICE EN COLABORACION CON CSC GREENARDO.</p> <p> </p> <p>AMAZING AMNESIA HAZE FARMER TOM'S CHOICE SHATTER IN COLLABORATION WITH CSC GREENARDO</p>,https://weedmaps.com/brands/23-oils/products/23-oils-amnesia-haze
23 Oils,https://images.weedmaps.com/brands/000/002/360/avatar/large/1503573156-23O_Adhes8x8verd_taronja.jpg,"<p>BARCELONA FINEST EXTRACTS & CONCENTRATES.</p> <p>QUALITY IS OUR GOLD.</p> <p>ONLY NUG RUN PRODUCTS.</p> <p>WE MAKE SOLVENT AND SOLVENTLESS.</p> <p>OUR SPECIALITY IS BHO.</p> <p>WE ARE ALSO GOOD AT ROSIN, ICEOLATOR AND DRYSIFT. </p> <p>EQUIPMENT USED:</p> <p>SOLVENT:</p> <p>BHOGART, ACROSS INTL & EDWARDS.</p> <p>SOLVENTLESS:</p> <p>SASQUASH.</p> <p>PURE EXTRACT BAGS, HARVEST RIGHT.</p> <p> </p>",Shatter,,,Afghan Kush Shatter,https://images.weedmaps.com/products/000/048/524/avatar/large/1503675369-23_OILS_-_BHO_SHATTER_-_AFGHAN_KUSH_-_1.jpg,,,<p>impresionante y translucido SHATTER de la variedad AFGHAN KUSH SPECIAL</p>,https://weedmaps.com/brands/23-oils/products/23-oils-afghan-ksuh-shatter
23 Oils,https://images.weedmaps.com/brands/000/002/360/avatar/large/1503573156-23O_Adhes8x8verd_taronja.jpg,"<p>BARCELONA FINEST EXTRACTS & CONCENTRATES.</p> <p>QUALITY IS OUR GOLD.</p> <p>ONLY NUG RUN PRODUCTS.</p> <p>WE MAKE SOLVENT AND SOLVENTLESS.</p> <p>OUR SPECIALITY IS BHO.</p> <p>WE ARE ALSO GOOD AT ROSIN, ICEOLATOR AND DRYSIFT. </p> <p>EQUIPMENT USED:</p> <p>SOLVENT:</p> <p>BHOGART, ACROSS INTL & EDWARDS.</p> <p>SOLVENTLESS:</p> <p>SASQUASH.</p> <p>PURE EXTRACT BAGS, HARVEST RIGHT.</p> <p> </p>",Crumble,,,Tahoe Wax,https://images.weedmaps.com/products/000/048/627/avatar/large/1503677432-23_OILS_-_BHO_WAX_-_TAHOE_WAX_-_1.jpg,,,<p>Clone Only ---> Probably Og Kush phenotype </p>,https://weedmaps.com/brands/23-oils/products/23-oils-tahoe-wax
23 Oils,https://images.weedmaps.com/brands/000/002/360/avatar/large/1503573156-23O_Adhes8x8verd_taronja.jpg,"<p>BARCELONA FINEST EXTRACTS & CONCENTRATES.</p> <p>QUALITY IS OUR GOLD.</p> <p>ONLY NUG RUN PRODUCTS.</p> <p>WE MAKE SOLVENT AND SOLVENTLESS.</p> <p>OUR SPECIALITY IS BHO.</p> <p>WE ARE ALSO GOOD AT ROSIN, ICEOLATOR AND DRYSIFT. </p> <p>EQUIPMENT USED:</p> <p>SOLVENT:</p> <p>BHOGART, ACROSS INTL & EDWARDS.</p> <p>SOLVENTLESS:</p> <p>SASQUASH.</p> <p>PURE EXTRACT BAGS, HARVEST RIGHT.</p> <p> </p>",Crumble,,,OG Kush Wax,https://images.weedmaps.com/products/000/048/626/avatar/large/1503677027-23_OILS_-_BHO_WAX_-_OG_KUSH_WAX_-_1.jpg,,,"<p>Chemdawg x (lemon Thai x Hindu Kush, Pakistan ) Probably </p>",https://weedmaps.com/brands/23-oils/products/23-oils-og-kush-wax
23 Oils,https://images.weedmaps.com/brands/000/002/360/avatar/large/1503573156-23O_Adhes8x8verd_taronja.jpg,"<p>BARCELONA FINEST EXTRACTS & CONCENTRATES.</p> <p>QUALITY IS OUR GOLD.</p> <p>ONLY NUG RUN PRODUCTS.</p> <p>WE MAKE SOLVENT AND SOLVENTLESS.</p> <p>OUR SPECIALITY IS BHO.</p> <p>WE ARE ALSO GOOD AT ROSIN, ICEOLATOR AND DRYSIFT. </p> <p>EQUIPMENT USED:</p> <p>SOLVENT:</p> <p>BHOGART, ACROSS INTL & EDWARDS.</p> <p>SOLVENTLESS:</p> <p>SASQUASH.</p> <p>PURE EXTRACT BAGS, HARVEST RIGHT.</p> <p> </p>",Crumble,,,Girl Scout Cookies,https://images.weedmaps.com/products/000/037/265/avatar/large/23_oil_girl_scout_cookies.jpg,,,<p>High-Quality Solventless Water Hash</p> <p>Hash de agua sin solventes de alta calidad</p>,https://weedmaps.com/brands/23-oils/products/23-oils-girl-scout-cookies
23 Oils,https://images.weedmaps.com/brands/000/002/360/avatar/large/1503573156-23O_Adhes8x8verd_taronja.jpg,"<p>BARCELONA FINEST EXTRACTS & CONCENTRATES.</p> <p>QUALITY IS OUR GOLD.</p> <p>ONLY NUG RUN PRODUCTS.</p> <p>WE MAKE SOLVENT AND SOLVENTLESS.</p> <p>OUR SPECIALITY IS BHO.</p> <p>WE ARE ALSO GOOD AT ROSIN, ICEOLATOR AND DRYSIFT. </p> <p>EQUIPMENT USED:</p> <p>SOLVENT:</p> <p>BHOGART, ACROSS INTL & EDWARDS.</p> <p>SOLVENTLESS:</p> <p>SASQUASH.</p> <p>PURE EXTRACT BAGS, HARVEST RIGHT.</p> <p> </p>",Ice Hash,,,Def Star OG,https://images.weedmaps.com/products/000/037/266/avatar/large/23_oil_def_star_og_73-edit.jpg,,,"<p>ICEOLATOR de la mas alta calidad de la variedad DEF STAR OG disponible solo en Barcelona en CSC GREENARDO y en Hollywood, Los angeles en GREEN DRAGON CAREGIVERS</p> <p>High-Quality Solventless Water Hash</p> <p> </p>",https://weedmaps.com/brands/23-oils/products/23-oils-def-star-og
23 Oils,https://images.weedmaps.com/brands/000/002/360/avatar/large/1503573156-23O_Adhes8x8verd_taronja.jpg,"<p>BARCELONA FINEST EXTRACTS & CONCENTRATES.</p> <p>QUALITY IS OUR GOLD.</p> <p>ONLY NUG RUN PRODUCTS.</p> <p>WE MAKE SOLVENT AND SOLVENTLESS.</p> <p>OUR SPECIALITY IS BHO.</p> <p>WE ARE ALSO GOOD AT ROSIN, ICEOLATOR AND DRYSIFT. </p> <p>EQUIPMENT USED:</p> <p>SOLVENT:</p> <p>BHOGART, ACROSS INTL & EDWARDS.</p> <p>SOLVENTLESS:</p> <p>SASQUASH.</p> <p>PURE EXTRACT BAGS, HARVEST RIGHT.</p> <p> </p>",Ice Hash,,,Purps,https://images.weedmaps.com/products/000/037/267/avatar/large/23_oils_purps_73.jpg,,,<p>High-Quality Solventless Water Hash</p> <p>Hash de agua sin solventes de alta calidad</p>,https://weedmaps.com/brands/23-oils/products/23-oils-purps
23 Oils,https://images.weedmaps.com/brands/000/002/360/avatar/large/1503573156-23O_Adhes8x8verd_taronja.jpg,"<p>BARCELONA FINEST EXTRACTS & CONCENTRATES.</p> <p>QUALITY IS OUR GOLD.</p> <p>ONLY NUG RUN PRODUCTS.</p> <p>WE MAKE SOLVENT AND SOLVENTLESS.</p> <p>OUR SPECIALITY IS BHO.</p> <p>WE ARE ALSO GOOD AT ROSIN, ICEOLATOR AND DRYSIFT. </p> <p>EQUIPMENT USED:</p> <p>SOLVENT:</p> <p>BHOGART, ACROSS INTL & EDWARDS.</p> <p>SOLVENTLESS:</p> <p>SASQUASH.</p> <p>PURE EXTRACT BAGS, HARVEST RIGHT.</p> <p> </p>",Ice Hash,,,Amnesia Farmer Tom,https://images.weedmaps.com/products/000/037/263/avatar/large/1503569811-AmnesiaFarmerTom.jpg,,,<p>High Quality Solventless Water Hash</p> <p>Hash de agua sin solventes de alta calidad</p>,https://weedmaps.com/brands/23-oils/products/23-oils-amnesia-farmer-tom
100 Packs,https://images.weedmaps.com/brands/000/002/594/avatar/large/100-logo_v2.jpg,"<p>Everybody eats. 100 Packs is on a noble mission: to collect and offer over 100 cannabis strains in their library. Crafting concentrates and growing the most classic kinds of strains, 100 Packs goes back to cannabis’ roots to share their love for the plant with connoisseurs and novices alike across California. 100 Packs is driven by their love of marijuana and with everything from the classics to new, exotic strains, they want to share their discoveries. After all, they fervently believe that “Everybody Eats.” History:</p> <p>100 Packs stems from nearly a decade of cultivation experience. The founders of 100 Packs started growing cannabis out of their garage, with a particular eye for developing strains they loved so they’d never be lost to history. As they expanded their collection, their love for marijuana’s power to heal and bring people together grew, and they wanted to make the treasure trove they’d created available to everyone. After finding a grow space large enough, 100 Packs was formed in early 2016 with a mission to collect and produce as many different marijuana strains as possible, preserving the classics and traveling the globe to find the most unusual cuts. Today, 100 Packs has grown with the California cannabis industry, and they plan on expanding their wholly unique selection of cannabis flower and concentrates to dispensaries across the state.</p> <p><b><ins>Products:</ins></b></p> <p>100 Packs acts as historians of marijuana history, cultivating strains that most other growers don’t breed anymore, including Blue Dream, Master Kush, and even an Afghani Landrace. They travel all over the world for their seeds and use their honed skills to breed the best versions of these strains. Then, 100 Packs selects their favorites to craft closed-loop, BHO extracted concentrates, fully dewaxed and available in a trim run, nug run, live resin and a variety of other tiers and strains. Connoisseurs love their 100 OG, a cross of Skywalker and SFV, in both flower and concentrate form, and 100 Packs will gladly share their genetics with any curious cannabis lover who asks.</p> Lab Testing: 100 Packs cares about the quality of their products, and as a commitment to their customers'' safety and cannabis’ quality, they send each batch to SC Labs for thorough testing. Their flower often caps out at over 20% THC, and 100 Packs also checks for terpene profiles, residual solvents, pesticides and more. Networks: Covering the Southern California map, 100 Packs proudly works with dozens of dispensaries from Los Angeles to San Diego and looks forward to expanding their marijuana goods northward. Their products feature in CHR, Best of SB, and Melrose Place Collective, and they’ve collaborated in the past with Barewoods, OG Raskal and more to offer exciting, unique strain collaborations.</p>",Flower,,,Purple Lemonade,https://images.weedmaps.com/products/000/042/859/avatar/large/170714_100Packs_HybridPurpleLemonade-4403.jpg,,,"<p>100 Packs Purple Lemonade Hybrid expresses notes of citrus in this potent hybrid. 100 Packs cares about the quality of their products, and as a commitment to their customers'' safety and cannabis’ quality, they send each batch to SC Labs for thorough testing. Their flower often caps out at over 20% THC, and 100 Packs also checks for terpene profiles, residual solvents, pesticides and more</p>",https://weedmaps.com/brands/100-packs/products/100-packs-purple-lemonade
100 Packs,https://images.weedmaps.com/brands/000/002/594/avatar/large/100-logo_v2.jpg,"<p>Everybody eats. 100 Packs is on a noble mission: to collect and offer over 100 cannabis strains in their library. Crafting concentrates and growing the most classic kinds of strains, 100 Packs goes back to cannabis’ roots to share their love for the plant with connoisseurs and novices alike across California. 100 Packs is driven by their love of marijuana and with everything from the classics to new, exotic strains, they want to share their discoveries. After all, they fervently believe that “Everybody Eats.” History:</p> <p>100 Packs stems from nearly a decade of cultivation experience. The founders of 100 Packs started growing cannabis out of their garage, with a particular eye for developing strains they loved so they’d never be lost to history. As they expanded their collection, their love for marijuana’s power to heal and bring people together grew, and they wanted to make the treasure trove they’d created available to everyone. After finding a grow space large enough, 100 Packs was formed in early 2016 with a mission to collect and produce as many different marijuana strains as possible, preserving the classics and traveling the globe to find the most unusual cuts. Today, 100 Packs has grown with the California cannabis industry, and they plan on expanding their wholly unique selection of cannabis flower and concentrates to dispensaries across the state.</p> <p><b><ins>Products:</ins></b></p> <p>100 Packs acts as historians of marijuana history, cultivating strains that most other growers don’t breed anymore, including Blue Dream, Master Kush, and even an Afghani Landrace. They travel all over the world for their seeds and use their honed skills to breed the best versions of these strains. Then, 100 Packs selects their favorites to craft closed-loop, BHO extracted concentrates, fully dewaxed and available in a trim run, nug run, live resin and a variety of other tiers and strains. Connoisseurs love their 100 OG, a cross of Skywalker and SFV, in both flower and concentrate form, and 100 Packs will gladly share their genetics with any curious cannabis lover who asks.</p> Lab Testing: 100 Packs cares about the quality of their products, and as a commitment to their customers'' safety and cannabis’ quality, they send each batch to SC Labs for thorough testing. Their flower often caps out at over 20% THC, and 100 Packs also checks for terpene profiles, residual solvents, pesticides and more. Networks: Covering the Southern California map, 100 Packs proudly works with dozens of dispensaries from Los Angeles to San Diego and looks forward to expanding their marijuana goods northward. Their products feature in CHR, Best of SB, and Melrose Place Collective, and they’ve collaborated in the past with Barewoods, OG Raskal and more to offer exciting, unique strain collaborations.</p>",Flower,,,Tangie,https://images.weedmaps.com/products/000/042/858/avatar/large/170714_100Packs_TangieSativaFlower-4398.jpg,,,"<p>100 Packs Tangie Sativa will have you planning a vacation in Palm Springs. 100 Packs cares about the quality of their products, and as a commitment to their customers' safety and cannabis’ quality, they send each batch to SC Labs for thorough testing. Their flower often caps out at over 20% THC, and 100 Packs also checks for terpene profiles, residual solvents, pesticides and more</p>",https://weedmaps.com/brands/100-packs/products/100-packs-tangie
